duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,attack_type,label
0.18,tcp,auth,SF,363,20,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,37,181,0.73,0.8,0.0,0.03,0.78,0.29,0.04,209,184,0.77,0.15,0.07,0.07,0.14,0.21,0.03,0.06,neptune,1
4.23,tcp,telnet,SF,1059,1373,0,0,0,14,0,1,2,0,0,0,0,0,4,0,0,0,282,301,0.06,0.23,0.17,0.1,0.93,0.09,0.19,247,51,0.89,0.18,0.14,0.02,0.05,0.11,0.03,0.2,normal,0
0.63,udp,telnet,REJ,181,47,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,329,91,0.11,0.71,0.03,0.12,0.7,0.17,0.02,23,144,0.46,0.17,0.03,0.05,0.9,0.12,0.13,0.01,neptune,1
0.14,udp,ssh,SF,56,34,0,0,0,2,1,1,3,0,0,0,2,0,3,0,0,0,283,169,0.2,0.15,0.0,0.14,0.71,0.06,0.1,20,241,0.75,0.0,0.14,0.07,0.24,0.34,0.05,0.17,nmap,2
0.61,tcp,finger,S0,907,4168,0,0,0,2,0,1,2,0,0,0,1,0,3,0,0,0,19,270,0.01,0.03,0.03,0.16,0.79,0.12,0.06,235,59,0.98,0.12,0.16,0.17,0.03,0.01,0.04,0.17,normal,0
0.72,tcp,http,SF,271,238,0,0,0,3,0,0,3,0,0,0,1,0,4,0,0,0,141,261,0.05,0.53,0.18,0.01,0.66,0.22,0.17,249,192,0.69,0.11,0.0,0.28,0.05,0.21,0.04,0.13,ipsweep,2
2.63,tcp,dns,S0,2224,2430,0,0,0,10,0,1,0,0,0,0,0,0,2,0,0,0,181,11,0.14,0.05,0.01,0.04,0.92,0.09,0.01,120,74,0.87,0.04,0.17,0.05,0.16,0.03,0.03,0.07,normal,0
3.5,tcp,finger,SF,329,32,0,0,0,12,1,1,0,0,0,0,0,0,3,0,0,0,181,471,0.2,0.06,0.01,0.01,0.92,0.13,0.09,235,88,0.97,0.23,0.06,0.07,0.21,0.01,0.02,0.08,normal,0
1.27,udp,smtp,SF,16338,4161,0,0,0,18,0,1,2,0,0,0,0,0,3,0,0,0,490,278,0.04,0.02,0.02,0.03,0.98,0.04,0.08,47,127,0.82,0.16,0.02,0.09,0.02,0.05,0.02,0.2,normal,0
0.01,udp,telnet,RSTO,1131,178,0,0,0,2,0,1,3,0,0,0,0,0,2,0,0,0,406,397,0.01,0.02,0.01,0.1,0.01,0.2,0.15,174,33,0.66,0.01,0.13,0.02,0.07,0.1,0.07,0.05,satan,2
0.02,tcp,ssh,SF,577,220,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,217,340,0.1,0.08,0.11,0.04,0.52,0.03,0.03,183,210,0.7,0.3,0.01,0.08,0.29,0.51,0.03,0.09,neptune,1
0.14,tcp,imap,SF,52,149,0,0,0,1,0,0,9,0,0,0,0,0,2,0,0,0,251,355,0.21,0.04,0.01,0.17,0.82,0.01,0.04,153,220,0.48,0.11,0.22,0.04,0.42,0.24,0.03,0.07,portsweep,2
0.02,udp,ftp,REJ,949,410,0,0,0,1,0,1,0,0,0,0,2,0,3,0,0,0,85,354,0.03,0.2,0.09,0.01,0.67,0.07,0.26,1,79,0.94,0.14,0.19,0.11,0.07,0.0,0.06,0.09,normal,0
0.37,tcp,imap,SF,28,16,0,0,0,3,0,1,2,0,0,0,0,0,2,0,0,0,228,150,0.02,0.01,0.13,0.09,0.51,0.08,0.14,140,190,0.39,0.21,0.18,0.19,0.03,0.05,0.06,0.56,satan,2
0.46,tcp,auth,SF,599,2326,0,0,0,11,0,1,1,0,0,0,2,0,3,0,0,0,334,509,0.1,0.1,0.12,0.02,0.71,0.01,0.1,234,82,0.91,0.02,0.15,0.14,0.19,0.4,0.12,0.01,normal,0
0.02,udp,finger,SF,372,206,0,0,0,4,1,0,5,0,0,0,2,0,4,0,0,0,18,84,0.12,0.61,0.14,0.05,0.02,0.0,0.01,40,179,0.96,0.11,0.03,0.1,0.87,0.92,0.25,0.05,neptune,1
0.22,udp,domain_u,SF,200,119,0,0,0,2,0,0,1,0,0,0,2,0,4,0,0,0,143,137,0.08,0.39,0.03,0.1,0.72,0.05,0.11,21,152,0.27,0.02,0.05,0.03,0.63,0.38,0.01,0.1,pod,1
0.74,tcp,telnet,SF,589,4253,0,0,0,9,0,1,1,0,0,0,1,0,0,0,0,0,404,224,0.12,0.12,0.11,0.13,0.87,0.08,0.04,154,86,0.74,0.14,0.01,0.07,0.09,0.02,0.09,0.1,normal,0
2.14,icmp,domain_u,SF,8382,611,0,0,0,0,0,1,1,0,0,0,1,0,4,0,0,0,262,75,0.01,0.05,0.07,0.31,0.42,0.0,0.07,206,108,0.94,0.05,0.0,0.18,0.06,0.03,0.05,0.36,normal,0
0.0,icmp,telnet,REJ,675,12,0,0,0,0,0,0,8,0,0,0,2,0,1,0,0,0,233,182,0.01,0.12,0.36,0.03,0.65,0.09,0.0,191,220,0.14,0.01,0.01,0.13,0.03,0.18,0.17,0.17,satan,2
0.07,tcp,private,SF,798,116,0,0,0,3,0,0,5,0,0,0,0,0,3,0,0,0,482,362,0.6,0.62,0.27,0.02,0.7,0.05,0.05,44,127,0.5,0.1,0.02,0.1,0.92,0.8,0.0,0.06,neptune,1
0.76,icmp,dns,SF,2403,10362,0,0,0,5,0,1,1,0,0,0,0,0,2,0,0,0,279,25,0.03,0.31,0.13,0.04,0.87,0.08,0.08,39,10,0.96,0.07,0.08,0.14,0.14,0.12,0.08,0.14,normal,0
2.43,tcp,finger,SF,3064,11054,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,324,201,0.02,0.07,0.06,0.08,0.7,0.0,0.28,92,77,0.92,0.13,0.01,0.01,0.04,0.04,0.03,0.0,normal,0
1.03,tcp,auth,SF,939,1273,0,0,0,18,0,1,1,0,0,0,1,0,0,0,0,0,511,108,0.2,0.02,0.06,0.25,0.89,0.01,0.07,194,243,0.82,0.02,0.06,0.0,0.04,0.04,0.06,0.11,normal,0
0.31,icmp,telnet,SF,106,30,0,0,0,3,0,1,6,0,0,0,0,0,2,0,0,0,450,298,0.19,0.03,0.03,0.19,0.73,0.08,0.03,51,54,0.5,0.16,0.02,0.0,0.02,0.01,0.04,0.12,ipsweep,2
0.26,tcp,telnet,SF,192,31,0,0,0,1,0,1,0,0,0,0,2,0,3,0,0,0,278,158,0.17,0.04,0.08,0.06,0.31,0.22,0.21,107,161,0.29,0.03,0.0,0.01,0.11,0.01,0.19,0.02,ipsweep,2
0.5,udp,auth,SF,1360,1984,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,394,274,0.08,0.1,0.04,0.17,0.84,0.07,0.04,208,79,0.67,0.03,0.02,0.05,0.08,0.41,0.11,0.33,normal,0
2.39,tcp,telnet,S1,816,1250,0,0,0,8,0,1,1,0,0,0,2,0,4,0,0,0,285,425,0.08,0.02,0.08,0.15,0.97,0.01,0.29,49,198,0.89,0.05,0.04,0.04,0.03,0.13,0.12,0.08,normal,0
0.05,tcp,smtp,SF,163,337,0,0,0,0,0,1,9,0,0,0,1,0,3,0,0,0,173,511,0.64,0.92,0.16,0.01,0.76,0.19,0.07,11,187,0.67,0.05,0.04,0.01,0.54,0.47,0.04,0.17,neptune,1
0.64,udp,smtp,SF,111,3,0,0,0,4,0,0,6,0,0,0,2,0,0,0,0,0,181,381,0.13,0.6,0.0,0.28,0.51,0.15,0.15,92,35,0.95,0.04,0.03,0.05,0.27,0.18,0.06,0.16,neptune,1
0.51,tcp,pop3,SF,370,239,0,0,0,4,0,1,3,0,0,0,2,0,2,0,0,0,122,314,0.1,0.79,0.05,0.08,0.1,0.08,0.01,231,235,0.19,0.07,0.04,0.27,0.57,0.62,0.04,0.28,neptune,1
0.05,tcp,telnet,SH,4143,9309,0,0,0,12,0,1,1,0,0,0,1,0,4,0,0,0,160,279,0.3,0.17,0.02,0.02,1.0,0.0,0.06,66,230,0.93,0.05,0.13,0.12,0.1,0.28,0.3,0.25,normal,0
0.31,tcp,finger,SF,384,146,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,294,345,0.74,0.69,0.05,0.13,0.22,0.01,0.05,15,51,0.58,0.26,0.18,0.09,0.75,0.54,0.03,0.33,neptune,1
3.77,tcp,http,SF,2752,890,0,0,0,5,0,1,1,0,0,0,1,0,0,0,0,0,373,310,0.03,0.05,0.22,0.2,0.9,0.17,0.06,246,152,0.82,0.15,0.1,0.04,0.04,0.06,0.01,0.08,normal,0
0.27,icmp,finger,SF,22,81,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,409,429,0.78,0.29,0.13,0.02,0.27,0.18,0.16,147,242,0.56,0.02,0.02,0.1,0.64,0.32,0.02,0.01,neptune,1
0.23,tcp,ftp,S0,186,36,0,0,0,0,0,1,3,0,0,0,0,0,4,0,0,0,37,482,0.12,0.06,0.21,0.08,0.78,0.27,0.25,115,152,0.16,0.0,0.1,0.03,0.06,0.07,0.04,0.05,satan,2
1.0,icmp,private,SF,2015,7525,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,433,269,0.06,0.09,0.08,0.12,0.68,0.33,0.12,254,52,0.91,0.15,0.01,0.03,0.12,0.05,0.16,0.06,normal,0
0.42,tcp,auth,S0,406,155,0,0,0,1,3,0,0,0,0,0,2,0,3,0,0,0,124,345,0.28,0.19,0.1,0.08,0.33,0.04,0.05,231,95,0.77,0.04,0.22,0.08,0.28,0.56,0.02,0.14,pod,1
0.02,udp,ssh,SF,368,84,0,0,0,3,0,1,8,0,0,0,0,0,2,0,0,0,350,99,0.47,0.58,0.03,0.08,0.6,0.19,0.01,206,16,0.68,0.07,0.1,0.25,0.04,0.74,0.07,0.33,neptune,1
0.74,udp,auth,S0,369,74,0,0,0,4,0,0,4,0,0,0,2,0,4,0,0,0,63,240,0.55,0.55,0.02,0.3,0.37,0.13,0.23,105,78,0.54,0.03,0.16,0.0,0.23,0.27,0.06,0.08,neptune,1
0.28,tcp,private,RSTR,272,58,0,0,0,0,0,1,8,0,0,0,2,0,3,0,0,0,380,389,0.48,0.73,0.04,0.01,0.99,0.03,0.08,174,51,0.61,0.04,0.22,0.09,0.7,0.05,0.04,0.06,neptune,1
4.27,udp,imap,SF,6701,5690,0,0,0,9,0,1,2,0,0,0,1,0,0,0,0,1,143,282,0.03,0.15,0.03,0.02,0.96,0.04,0.03,121,233,0.95,0.06,0.14,0.1,0.05,0.09,0.0,0.34,normal,0
0.1,tcp,auth,S1,71,47,0,0,0,0,0,0,7,0,0,0,2,0,1,0,0,0,475,163,1.0,0.6,0.25,0.01,0.79,0.4,0.19,82,136,0.51,0.01,0.05,0.09,0.67,0.41,0.03,0.14,neptune,1
3.02,udp,pop3,SF,1589,2510,0,0,0,10,0,1,2,0,0,0,1,0,3,0,0,0,470,96,0.31,0.08,0.06,0.04,0.62,0.04,0.05,204,42,0.88,0.16,0.01,0.37,0.15,0.03,0.01,0.06,normal,0
0.19,tcp,ssh,SF,508,13,0,0,0,4,0,1,7,0,0,0,0,0,1,0,0,0,405,119,0.66,0.02,0.01,0.04,0.67,0.14,0.07,221,41,0.91,0.14,0.07,0.01,0.86,0.26,0.25,0.01,neptune,1
0.53,tcp,domain_u,SF,10705,390,0,0,0,1,0,1,2,0,0,0,2,0,0,0,0,0,323,252,0.12,0.03,0.04,0.08,0.91,0.15,0.26,14,163,0.69,0.06,0.0,0.17,0.0,0.1,0.04,0.14,normal,0
0.08,udp,private,SF,3,51,0,0,0,0,0,0,4,1,1,0,2,1,0,0,0,0,88,183,0.35,0.07,0.02,0.13,0.81,0.04,0.08,132,94,0.06,0.03,0.02,0.06,0.41,0.22,0.17,0.07,buffer_overflow,4
0.54,tcp,http,S2,1134,8,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,79,328,0.04,0.01,0.05,0.03,0.66,0.02,0.04,248,219,0.29,0.05,0.36,0.13,0.01,0.09,0.47,0.04,imap_att,3
1.12,tcp,auth,SF,493,1330,0,0,0,14,0,1,2,0,0,0,2,0,0,0,0,0,424,268,0.09,0.12,0.01,0.26,0.94,0.17,0.04,62,98,0.97,0.0,0.15,0.08,0.04,0.17,0.15,0.02,normal,0
0.26,udp,imap,SF,24,134,0,0,0,1,0,0,9,0,0,0,1,0,2,0,0,0,409,324,0.82,0.38,0.03,0.08,0.81,0.18,0.26,121,204,0.24,0.12,0.04,0.31,0.57,0.15,0.07,0.0,neptune,1
0.13,udp,auth,REJ,3416,4816,0,0,0,19,0,1,2,0,0,0,2,0,4,0,0,0,104,369,0.01,0.04,0.33,0.1,0.74,0.04,0.02,139,25,0.95,0.11,0.03,0.01,0.05,0.06,0.24,0.03,normal,0
0.07,udp,http,SF,300,287,0,0,0,3,2,1,1,0,0,0,2,0,3,0,0,0,334,78,0.98,0.28,0.02,0.01,0.45,0.05,0.04,86,30,0.34,0.39,0.05,0.13,0.67,0.6,0.0,0.17,neptune,1
1.1,tcp,ssh,SF,895,7631,0,0,0,3,0,1,2,0,0,0,1,0,4,0,0,0,180,248,0.02,0.16,0.02,0.06,0.9,0.16,0.07,165,61,0.83,0.15,0.16,0.02,0.47,0.09,0.07,0.07,normal,0
0.13,icmp,telnet,SF,469,37,0,0,0,1,1,1,5,0,0,0,1,0,0,0,0,0,333,75,0.04,0.18,0.02,0.03,0.77,0.17,0.13,226,92,0.34,0.15,0.12,0.1,0.0,0.1,0.09,0.01,satan,2
2.07,udp,auth,SF,1222,2836,0,0,0,19,3,1,2,0,0,0,1,0,1,0,0,0,435,374,0.01,0.13,0.0,0.03,0.89,0.06,0.33,121,214,0.71,0.02,0.01,0.15,0.02,0.15,0.05,0.01,normal,0
0.29,tcp,domain_u,SF,377,30,0,0,0,4,0,1,0,0,0,0,1,0,1,0,0,0,167,78,0.01,0.62,0.03,0.06,0.05,0.06,0.07,73,251,0.76,0.12,0.06,0.11,0.02,0.25,0.12,0.04,satan,2
0.37,tcp,auth,OTH,126,203,0,0,0,1,0,1,6,0,0,0,1,0,2,0,0,0,483,167,0.4,0.16,0.23,0.07,0.06,0.15,0.16,155,177,0.23,0.3,0.19,0.16,0.35,0.87,0.0,0.01,smurf,1
0.11,tcp,smtp,SF,455,201,0,0,0,1,0,1,8,0,0,0,1,0,0,0,0,0,351,176,0.01,0.01,0.13,0.01,0.79,0.05,0.14,6,98,0.42,0.14,0.2,0.16,0.15,0.09,0.45,0.06,ipsweep,2
0.06,tcp,ssh,S0,2,36,0,0,0,2,2,1,6,0,0,0,1,0,2,0,0,0,504,455,0.71,0.73,0.01,0.16,0.29,0.02,0.08,52,137,0.47,0.03,0.01,0.16,0.15,0.39,0.13,0.17,smurf,1
0.35,tcp,smtp,REJ,1033,91,0,0,0,4,0,0,0,0,0,0,1,0,3,0,0,0,104,186,0.17,0.01,0.12,0.28,0.64,0.07,0.02,255,200,0.63,0.05,0.05,0.04,0.12,0.05,0.27,0.39,nmap,2
0.28,udp,imap,SF,120,159,0,0,0,3,0,0,9,0,0,0,2,0,4,0,0,0,434,202,0.07,0.1,0.32,0.02,0.04,0.03,0.18,23,26,0.42,0.05,0.07,0.04,0.0,0.01,0.07,0.03,ipsweep,2
1.31,tcp,smtp,S2,4980,4107,0,0,0,9,0,1,2,0,0,0,1,0,2,0,0,0,146,132,0.1,0.12,0.13,0.02,0.98,0.24,0.07,230,178,0.79,0.03,0.09,0.19,0.02,0.1,0.06,0.01,normal,0
0.23,tcp,auth,SF,8403,314,0,0,0,2,0,1,1,0,0,0,1,0,4,0,0,0,60,315,0.21,0.48,0.1,0.02,0.83,0.11,0.12,170,2,0.96,0.02,0.04,0.05,0.04,0.06,0.13,0.27,normal,0
0.62,udp,pop3,SH,306,61,0,0,0,0,0,1,2,1,1,4,0,1,1,0,0,0,443,95,0.0,0.02,0.04,0.12,0.89,0.01,0.24,249,242,0.79,0.1,0.23,0.25,0.03,0.03,0.03,0.17,buffer_overflow,4
1.86,tcp,dns,RSTR,14921,3235,0,0,0,4,0,1,2,0,0,0,0,0,2,0,0,0,302,369,0.03,0.18,0.11,0.02,0.82,0.16,0.02,83,233,0.94,0.42,0.04,0.02,0.14,0.02,0.04,0.07,normal,0
0.54,tcp,smtp,SF,13509,4284,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,487,297,0.02,0.2,0.06,0.06,0.95,0.0,0.09,133,221,0.79,0.0,0.01,0.02,0.03,0.01,0.05,0.22,normal,0
3.96,tcp,finger,SF,4499,3513,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,26,63,0.05,0.11,0.05,0.25,0.83,0.04,0.2,192,161,0.84,0.1,0.06,0.01,0.08,0.13,0.18,0.13,normal,0
6.01,tcp,finger,SF,9874,310,1,0,0,5,0,1,0,0,0,0,2,0,3,0,0,0,347,458,0.08,0.06,0.01,0.05,0.82,0.1,0.02,56,85,0.9,0.07,0.0,0.01,0.25,0.06,0.09,0.1,normal,0
1.55,udp,ssh,SF,18691,2652,0,0,0,16,0,1,1,0,0,0,2,0,0,0,0,0,432,146,0.05,0.13,0.04,0.01,0.99,0.04,0.02,2,75,0.8,0.06,0.12,0.07,0.01,0.2,0.12,0.14,normal,0
0.42,udp,auth,S0,109,25,0,0,0,4,0,0,9,0,0,0,2,0,1,0,0,0,47,255,0.28,0.56,0.02,0.0,0.32,0.24,0.07,102,238,0.99,0.06,0.06,0.11,0.36,0.44,0.3,0.0,teardrop,1
0.15,tcp,private,SF,295,53,0,0,0,1,0,0,5,0,0,0,1,0,4,0,0,0,349,68,0.37,0.97,0.05,0.05,0.2,0.04,0.04,74,226,0.18,0.16,0.03,0.08,0.02,0.45,0.17,0.03,smurf,1
0.02,icmp,imap,SF,179,317,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,235,500,0.32,0.06,0.01,0.05,0.97,0.23,0.02,226,73,0.1,0.21,0.01,0.0,0.14,0.02,0.08,0.02,guess_passwd,3
0.27,tcp,pop3,SF,1690,281,0,0,0,0,1,1,1,0,0,0,2,0,3,0,0,0,97,93,0.08,0.07,0.08,0.06,0.33,0.13,0.02,76,212,0.86,0.19,0.15,0.08,0.17,0.01,0.11,0.17,satan,2
0.14,udp,ftp,S1,188,21,0,0,0,3,0,1,4,0,0,0,1,0,1,0,0,0,106,163,0.02,0.11,0.17,0.04,0.55,0.01,0.35,65,187,0.26,0.14,0.04,0.02,0.1,0.03,0.01,0.03,ftp_write,3
0.13,tcp,telnet,SF,9172,415,0,0,0,12,0,1,1,0,0,0,2,0,3,0,0,0,403,505,0.03,0.04,0.07,0.5,1.0,0.27,0.04,129,227,0.96,0.09,0.11,0.25,0.17,0.01,0.14,0.35,normal,0
1.71,tcp,ftp,SF,1712,2585,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,112,132,0.04,0.01,0.11,0.03,0.97,0.01,0.28,82,155,0.92,0.01,0.37,0.05,0.14,0.07,0.2,0.45,normal,0
1.57,tcp,imap,SF,4237,1521,0,0,0,15,0,1,0,0,0,0,1,0,0,0,0,0,307,312,0.01,0.03,0.04,0.37,0.87,0.11,0.05,226,182,0.82,0.08,0.01,0.0,0.24,0.11,0.28,0.06,normal,0
6.5,tcp,auth,SF,5616,2495,0,0,0,5,0,1,1,0,0,0,2,0,2,0,0,0,435,427,0.24,0.1,0.16,0.01,0.93,0.31,0.06,91,197,0.8,0.18,0.0,0.0,0.1,0.01,0.11,0.36,normal,0
0.51,tcp,ftp,SF,5076,3398,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,4,1,0.08,0.37,0.01,0.22,0.97,0.05,0.25,234,109,0.7,0.03,0.04,0.21,0.06,0.02,0.01,0.15,normal,0
0.59,udp,auth,SF,8337,410,0,0,0,6,0,1,2,0,0,0,2,0,0,0,0,0,406,256,0.08,0.03,0.2,0.07,0.94,0.14,0.1,11,55,0.99,0.25,0.1,0.11,0.14,0.03,0.13,0.04,normal,0
0.32,udp,telnet,SF,14016,194,0,0,0,10,0,1,1,0,0,0,0,0,0,0,0,0,205,446,0.06,0.02,0.43,0.15,0.83,0.2,0.07,164,217,0.93,0.04,0.05,0.08,0.07,0.01,0.14,0.57,normal,0
0.27,tcp,finger,SF,2591,8228,0,0,0,11,0,1,0,0,0,0,1,0,1,0,0,0,41,463,0.03,0.13,0.13,0.11,0.99,0.0,0.07,117,79,0.97,0.05,0.1,0.01,0.27,0.0,0.04,0.07,normal,0
0.63,tcp,http,SF,1950,6294,0,0,0,1,0,1,2,0,0,0,2,0,3,0,0,0,319,213,0.04,0.01,0.26,0.06,0.93,0.02,0.09,187,8,1.0,0.04,0.05,0.09,0.02,0.13,0.17,0.07,normal,0
0.25,tcp,dns,SF,1311,526,0,0,0,2,0,1,4,0,0,0,0,0,4,0,0,0,58,429,0.36,0.11,0.13,0.17,0.22,0.05,0.22,3,3,0.95,0.08,0.12,0.07,0.56,0.39,0.0,0.22,neptune,1
5.51,udp,finger,SF,497,260,0,0,0,12,1,1,0,0,0,0,0,0,1,0,0,0,511,152,0.03,0.12,0.04,0.29,0.97,0.07,0.05,68,241,0.85,0.09,0.01,0.09,0.22,0.31,0.01,0.09,normal,0
2.43,icmp,pop3,SF,4015,2800,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,384,432,0.0,0.13,0.0,0.1,0.98,0.15,0.05,106,229,0.97,0.11,0.06,0.13,0.32,0.06,0.09,0.18,normal,0
3.3,icmp,dns,SF,1198,2268,0,0,0,8,0,1,1,0,0,0,2,0,1,0,0,0,295,391,0.15,0.07,0.04,0.04,0.94,0.02,0.03,141,52,0.92,0.14,0.12,0.15,0.04,0.07,0.32,0.09,normal,0
0.13,tcp,imap,RSTR,296,7,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,203,165,0.56,0.86,0.11,0.06,0.81,0.03,0.08,190,240,0.17,0.02,0.01,0.2,0.81,0.01,0.05,0.06,neptune,1
0.25,tcp,auth,SF,2153,213,0,0,0,2,0,0,9,0,0,0,2,0,0,0,0,0,253,36,0.27,0.86,0.14,0.25,0.42,0.0,0.0,56,132,0.9,0.09,0.09,0.04,0.44,0.44,0.0,0.07,smurf,1
0.48,tcp,ftp,REJ,53,10,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,493,204,0.12,0.05,0.01,0.11,0.21,0.08,0.01,69,15,0.05,0.0,0.33,0.11,0.56,0.13,0.46,0.4,neptune,1
0.14,icmp,finger,SF,1775,4542,0,0,0,8,0,1,1,0,0,0,1,0,4,0,0,0,3,489,0.27,0.02,0.05,0.15,0.86,0.06,0.15,59,224,0.91,0.01,0.23,0.05,0.03,0.37,0.02,0.02,normal,0
0.1,tcp,smtp,SF,425,142,0,0,0,2,0,1,9,0,0,0,0,0,4,0,0,0,276,221,0.09,0.02,0.16,0.07,0.05,0.1,0.01,238,237,0.63,0.07,0.01,0.09,0.05,0.09,0.15,0.16,satan,2
0.8,tcp,ssh,REJ,129,118,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,45,303,0.75,0.87,0.18,0.01,0.58,0.14,0.02,98,166,0.45,0.02,0.03,0.17,0.95,0.43,0.26,0.07,smurf,1
1.77,tcp,auth,SF,256,8292,0,0,0,10,0,1,1,0,0,0,1,0,3,0,0,1,235,13,0.08,0.11,0.1,0.11,0.9,0.1,0.12,150,111,0.95,0.18,0.18,0.13,0.0,0.15,0.05,0.17,normal,0
1.25,tcp,telnet,SF,423,136,0,0,0,1,0,1,2,0,0,0,2,0,3,0,0,0,311,95,0.13,0.27,0.13,0.15,0.76,0.08,0.02,131,45,0.18,0.01,0.01,0.29,0.0,0.19,0.35,0.01,ipsweep,2
0.27,udp,smtp,SF,3189,72,0,0,0,0,1,1,1,0,0,0,0,0,3,0,0,0,334,10,0.03,0.18,0.08,0.0,0.92,0.17,0.16,115,183,0.95,0.12,0.07,0.03,0.06,0.02,0.17,0.08,normal,0
0.26,icmp,auth,SF,394,69,0,0,0,1,0,1,5,0,0,0,1,0,1,0,0,0,463,437,0.02,0.05,0.17,0.23,0.18,0.05,0.24,251,252,0.04,0.3,0.03,0.16,0.15,0.08,0.08,0.31,satan,2
0.61,tcp,imap,S2,582,106,0,0,0,0,0,1,9,0,0,0,2,0,3,0,0,0,18,476,0.78,0.26,0.12,0.11,0.73,0.14,0.01,197,37,0.23,0.01,0.31,0.21,0.07,0.17,0.21,0.1,smurf,1
0.94,tcp,imap,S2,178,215,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,372,412,0.01,0.02,0.19,0.17,0.63,0.1,0.36,44,25,0.29,0.01,0.01,0.09,0.21,0.97,0.06,0.02,smurf,1
1.58,tcp,private,SF,189,1962,0,0,0,9,0,1,0,0,0,0,0,0,4,0,0,0,257,383,0.05,0.02,0.24,0.05,0.86,0.01,0.12,135,255,0.63,0.05,0.22,0.12,0.07,0.04,0.06,0.04,normal,0
9.56,tcp,ftp,SF,2098,2509,0,0,0,2,0,1,1,0,0,0,1,0,4,0,0,0,274,97,0.07,0.28,0.06,0.13,0.93,0.07,0.17,234,242,0.93,0.08,0.43,0.12,0.05,0.23,0.02,0.04,normal,0
3.7,tcp,imap,SF,655,1519,0,0,0,3,0,1,2,0,0,0,1,0,4,0,0,0,315,349,0.26,0.03,0.03,0.22,0.92,0.04,0.04,120,200,0.95,0.02,0.18,0.09,0.01,0.08,0.05,0.14,normal,0
0.57,tcp,imap,SF,283,0,0,0,0,4,0,0,3,0,0,0,0,0,3,0,0,0,211,470,0.88,0.51,0.15,0.02,0.78,0.03,0.18,243,21,0.13,0.07,0.11,0.08,0.75,0.09,0.15,0.23,pod,1
0.58,tcp,http,SF,182,40,1,0,0,2,0,1,5,0,0,0,1,0,1,0,0,0,144,292,0.51,0.38,0.17,0.0,0.04,0.04,0.14,100,227,0.36,0.12,0.28,0.05,0.98,0.94,0.06,0.04,smurf,1
0.66,udp,smtp,SF,1582,3933,0,0,0,2,5,1,0,0,0,0,1,0,2,0,0,0,209,205,0.14,0.31,0.05,0.02,0.62,0.02,0.03,221,158,0.95,0.0,0.53,0.16,0.15,0.28,0.04,0.05,normal,0
1.03,tcp,imap,SF,2278,5772,0,0,0,2,0,1,2,0,0,0,0,0,4,0,0,0,407,380,0.21,0.02,0.07,0.06,1.0,0.02,0.06,48,101,0.9,0.02,0.18,0.08,0.0,0.09,0.09,0.05,normal,0
0.32,tcp,ssh,SF,327,117,0,0,0,3,0,1,0,0,0,0,0,0,4,0,0,0,137,397,0.31,0.03,0.08,0.1,0.05,0.08,0.03,89,4,0.82,0.01,0.09,0.01,0.16,0.13,0.02,0.18,satan,2
0.83,tcp,domain_u,SF,2826,5573,0,0,0,19,0,1,1,0,0,0,1,0,4,0,0,0,184,92,0.02,0.02,0.03,0.1,0.97,0.07,0.11,28,114,0.91,0.14,0.04,0.08,0.04,0.08,0.11,0.03,normal,0
3.7,tcp,private,REJ,3489,3531,0,0,0,17,0,1,1,0,0,0,0,0,3,0,0,0,181,443,0.01,0.12,0.06,0.01,0.98,0.04,0.13,13,163,0.98,0.02,0.02,0.08,0.26,0.14,0.14,0.32,normal,0
